HS부호,한글품목명,영문품목명
0101211000,농가 사육용,For farm breeding
0101219000,기타,Other
0101291000,경주말,Horses for racing
0101299000,기타,Other
0101300000,당나귀,Asses
0101900000,기타,Other
0102211000,젖소,For milk 
0102212000,육우(肉牛),For meat
0102219000,기타,Other
0102291000,젖소,For milk 
0102292000,육우(肉牛),For meat
0102299000,기타,Other
0102310000,번식용,Pure-bred breeding animals
0102391000,젖소,For milk 
0102392000,육우(肉牛),For meat
0102399000,기타,Other
0102901000,번식용,Pure-bred breeding animals
01029090,기타,Other
0102909010,젖소,For milk
0102909020,육우(肉牛),For meat
0102909090,기타,Other
0103100000,번식용,Pure-bred breeding animals
0103910000,중량이 50킬로그램 미만인 것,Weighing less than 50 kg
0103920000,중량이 50킬로그램 이상인 것,Weighing 50 kg or more
0104101000,번식용,Pure-bred breeding animals
0104109000,기타,Other
0104201000,젖염소,Milk goats
0104209000,기타,Other
0105111000,번식용,Pure-bred breeding animals
0105119000,기타,Other
0105120000,칠면조,Turkeys
0105131000,번식용,Pure-bred breeding animals
0105139000,기타,Other
0105140000,거위,Geese
0105150000,기니아새,Guinea fowls
0105941000,번식용,Pure-bred breeding animals
0105949000,기타,Other
01059910,오리,Ducks
0105991010,번식용,Pure-bred breeding animals
0105991090,기타,Other
0105992000,칠면조,Turkeys
0105999000,기타,Other
0106110000,영장류,Primates
0106121000,"고래ㆍ돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티ㆍ듀공(바다소목의 포유동물)","Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia)"
0106122000,"물개, 바다사자와 바다코끼리(기각아목의 포유동물)","Seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
0106130000,낙타와 그 밖의 낙타과의 동물[카멜리대(Camelidae)과],Camels and other camelids (Camelidae)
0106141000,번식용,Pure-bred breeding animals
0106149000,기타,Other
0106191000,개,Dogs
0106193000,사슴,Deer
0106194000,곰,Bears
01061950,여우,Fox
0106195010,번식용,Pure-bred breeding animals
0106195090,기타,Other
01061960,밍크,Mink
0106196010,번식용,Pure-bred breeding animals
0106196090,기타,Other
0106199000,기타,Other
0106201000,뱀,Snakes
0106202000,자라,Fresh-water tortoises
0106203000,거북,Turtles
0106209000,기타,Other
0106310000,맹금류,Birds of prey
0106320000,앵무류[패럿류(parrots)ㆍ패러키트류(parakeets)ㆍ금강앵무류ㆍ유황앵무류를 포함한다],"Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
0106330000,타조와 에뮤(emus)[드로마이어스 노배홀란디애(Dromaius novaehollandiae)],Ostriches; emus (Dromaius novaehollandiae)
0106390000,기타,Other
0106410000,벌,Bees
0106490000,기타,Other
0106901000,양서류,Amphibia
01069030,환형동물류,Annelida
0106903010,갯지렁이,Lug worms
0106903020,실지렁이,Sludge worms
0106903090,기타,Other
0106909000,기타,Other
0201100000,도체(屠體)와 이분도체(二分屠體),Carcasses and half-carcasses
0201201000,갈비,Short ribs
0201209000,기타,Other
0201300000,뼈 없는 것,Boneless
0202100000,도체(屠體)와 이분도체(二分屠體),Carcasses and half-carcasses
0202201000,갈비,Short ribs
0202209000,기타,Other
0202300000,뼈 없는 것,Boneless
0203110000,도체(屠體)와 이분도체(二分屠體),Carcasses and half-carcasses
0203120000,넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다),"Hams, shoulders and cuts thereof, with bone in"
0203191000,삼겹살,Streaky pork
0203199000,기타,Other
0203210000,도체(屠體)와 이분도체(二分屠體),Carcasses and half-carcasses
0203220000,넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다),"Hams, shoulders and cuts thereof, with bone in"
0203291000,삼겹살,Streaky pork
0203299000,기타,Other
0204100000,어린 면양의 도체(屠體)와 이분도체(二分屠體)(신선한 것이나 냉장한 것으로 한정한다),"Carcasses and half-carcasses of lamb, fresh or chilled"
0204210000,도체(屠體)와 이분도체(二分屠體),Carcasses and half-carcasses
0204220000,그 밖의 것으로서 뼈째로 절단한 것,Other cuts with bone in
0204230000,뼈 없는 것,Boneless
0204300000,어린 면양의 도체(屠體)와 이분도체(二分屠體)(냉동한 것으로 한정한다),"Carcasses and half-carcasses of lamb, frozen"
0204410000,도체(屠體)와 이분도체(二分屠體),Carcasses and half-carcasses
0204420000,그 밖의 것으로서 뼈째로 절단한 것,Other cuts with bone in
0204430000,뼈 없는 것,Boneless
0204500000,염소의 고기,Meat of goats
0205000000,"말ㆍ당나귀ㆍ노새ㆍ버새의 고기(신선한 것, 냉장하거나 냉동한 것으로 한정한다)","Meat of horses, asses, mules or hinnies, fresh, chilled or frozen."
0206100000,소의 것(신선한 것이나 냉장한 것으로 한정한다),"Of bovine animals, fresh or chilled"
0206210000,혀,Tongues
0206220000,간,Livers
0206291000,꼬리,Tails
0206292000,족,Feet
0206299000,기타,Other
0206300000,돼지의 것(신선한 것이나 냉장한 것으로 한정한다),"Of swine, fresh or chilled"
0206410000,간,Livers
0206491000,족,Feet
0206499000,기타,Other
0206800000,기타(신선한 것이나 냉장한 것으로 한정한다),"Other, fresh or chilled"
0206900000,기타(냉동한 것으로 한정한다),"Other, frozen"
0207110000,절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),"Not cut in pieces, fresh or chilled"
0207120000,절단하지 않은 육(냉동한 것으로 한정한다),"Not cut in pieces, frozen"
0207131000,절단육,Cuts
02071320,설육(屑肉),Offal
0207132010,간,Liver
0207132090,기타,Other
02071410,절단육,Cuts
0207141010,다리,Leg
0207141020,가슴,Breast
0207141030,날개,Wing
0207141090,기타,Other
02071420,설육(屑肉),Offal
0207142010,간,Liver
0207142090,기타,Other
0207240000,절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),"Not cut in pieces, fresh or chilled"
0207250000,절단하지 않은 육(냉동한 것으로 한정한다),"Not cut in pieces, frozen"
0207261000,절단육,Cuts
02072620,설육(屑肉),Offal
0207262010,간,Liver
0207262090,기타,Other
0207271000,절단육,Cuts
02072720,설육(屑肉),Offal
0207272010,간,Liver
0207272090,기타,Other
0207410000,절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),"Not cut in pieces, fresh or chilled"
0207420000,절단하지 않은 육(냉동한 것으로 한정한다),"Not cut in pieces, frozen"
0207430000,지방간(신선한 것이나 냉장한 것으로 한정한다),"Fatty livers, fresh or chilled"
0207441000,절단육,Cuts
02074420,설육(屑肉),Offal
0207442010,간,Liver
0207442090,기타,Other
0207451000,절단육,Cuts
02074520,설육(屑肉),Offal
0207452010,간,Liver
0207452090,기타,Other
0207510000,절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),"Not cut in pieces, fresh or chilled"
0207520000,절단하지 않은 육(냉동한 것으로 한정한다),"Not cut in pieces, frozen"
0207530000,지방간(신선한 것이나 냉장한 것으로 한정한다),"Fatty livers, fresh or chilled"
0207541000,절단육,Cuts
02075420,설육(屑肉),Offal
0207542010,간,Liver
0207542090,기타,Other
0207551000,절단육,Cuts
02075520,설육(屑肉),Offal
0207552010,간,Liver
0207552090,기타,Other
0207601000,절단하지 않은 육(신선한 것이나 냉장한 것으로 한정한다),"Not cut in pieces, fresh or chilled"
0207602000,절단하지 않은 육(냉동한 것으로 한정한다),"Not cut in pieces, frozen"
0207603,기타(신선한 것이나 냉장한 것으로 한정한다),"Other, fresh or chilled"
0207603100,절단육,Cuts
02076032,설육(屑肉),Offal
0207603210,간,Liver
0207603290,기타,Other
0207604,기타(냉동한 것으로 한정한다),"Other, frozen"
0207604100,절단육,Cuts
02076042,설육(屑肉),Offal
0207604210,간,Liver
0207604290,기타,Other
0208100000,토끼의 것,Of rabbits or hares
0208300000,영장류의 것,Of primates
0208401000,"고래 ? 돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티·듀공(바다소목의 포유동물)의 것","Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia)"
0208402000,물개ㆍ바다사자ㆍ바다코끼리(기각아목의 포유동물)의 것,"Of seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
0208500000,파충류의 것(뱀과 거북을 포함한다),Of reptiles (including snakes and turtles)
0208600000,낙타와 그 밖의 낙타과[카멜리대(Camelidae)과]의 것,Of camels and other camelids (Camelidae)
0208901000,사슴의 것,Of deer
02089090,기타,Other
0208909010,해양동물의 것,Of marine animals
0208909090,기타,Other
0209100000,돼지의 것,Of pigs
0209900000,기타,Other
0210110000,넓적다리살ㆍ어깨살과 이를 절단한 것(뼈가 있는 것으로 한정한다),"Hams, shoulders and cuts thereof, with bone in"
0210120000,복부살(삼겹살)과 이를 절단한 것,Bellies (streaky) and cuts thereof
0210190000,기타,Other
0210201000,건조하거나 훈제한 것,Dried or smoked
0210209000,기타,Other
0210910000,영장류의 것,Of primates
0210921000,"고래 ? 돌고래ㆍ쇠돌고래(고래목의 포유동물), 매너티ㆍ듀공(바다소목의 포유동물)의 것","Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia)"
0210922000,물개ㆍ바다사자ㆍ바다코끼리(기각아목의 포유동물)의 것,"Of seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
0210930000,파충류의 것(뱀과 거북을 포함한다),Of reptiles (including snakes and turtles)
02109910,육이나 설육(屑肉)의 식용 고운 가루ㆍ거친 가루,Edible flours and meals of meat or meat offal
0210991010,소의 것,Of bovine animals
0210991090,기타,Other
02109990,기타,Other
0210999020,가금(家禽)류의 것,Of poultry
0210999090,기타,Other
0301111000,비단잉어,Fancy carp
0301119000,기타,Other
0301190000,기타,Other
0301910000,송어[살모 트루타(Salmo trutta)ㆍ옹코링쿠스 미키스(Oncorhynchus mykiss)ㆍ옹코링쿠스 클라키(Oncorhynchus clarki)ㆍ옹코링쿠스 아구아보니타(Oncorhynchus aguabonita)ㆍ옹코링쿠스 길래(Oncorhynchus gilae)ㆍ옹코링쿠스 아파케(Oncorhynchus apache)ㆍ옹코링쿠스 크리소가스터(Oncorhynchus chrysogaster)],"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
0301921000,실뱀장어(한 마리당 0.3그램 이하인 것으로서 양식용으로 한정한다),"Glass eels(Not exceeding 0.3g per unit, for aquaculture)"
0301922000,새끼뱀장어(한 마리당 0.3그램 초과 50그램 이하인 것으로서 양식용으로 한정한다),"Young eels(exceeding 0.3g and not exceeding 50g per unit, for aquaculture)"
03019290,기타,Other
0301929010,실뱀장어(양식용은 제외한다),"Glass eels, other than for aquaculture"
0301929090,기타,Other
0301931000,붕어[카라시우스(Carassius)속],Crusian carp (Carassius spp.)
0301939000,기타,Other
0301940000,대서양 참다랑어와 태평양 참다랑어[터너스 티너스 (Thunnus thynnus)ㆍ터너스 오리엔탈리스(Thunnus orientalis)],"Atlantic and Pacific bluefin tunas (Thunnus thynnus, Thunnus orientalis)"
0301950000,남방 참다랑어[터너스 맥코이(Thunnus maccoyii)],Southern bluefin tunas (Thunnus maccoyii)
0301992000,방어,Yellow tail
03019940,돔,Sea-bream
0301994010,치어(稚魚)(양식용으로 한정한다),Fry (for aquaculture)
030199409,기타,Other
0301994091,참돔[파그루스 마조르(Pagrus major)] ,Red seabream (Pagrus major)
0301994099,기타,Other
0301995000,붕장어,Conger eel
0301996000,갯장어,Sharp toothed eel
0301997000,먹장어,Hagfish
0301998000,넙치류[플루로넥티대(Pleuronectidae)과ㆍ바디대(Bothidae)과ㆍ사이노글로시대(Cynoglossidae)과ㆍ솔레이대(Soleidae)과ㆍ스코프탈미대(Scophthalmidae)과ㆍ시타리대(Citharidae)과],"Flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)"
03019990,기타,Other
0301999010,능성어,True bass
0301999020,복어,Puffers
0301999040,볼락(적어를 포함한다),Rock fish (including pacific ocean perch)
030199905,농어,Sea bass
0301999051,치어(稚魚)(양식용으로 한정한다),Fry (for aquaculture)
0301999059,기타,Other
0301999060,숭어,Mullets
0301999070,미꾸라지,Loaches
0301999080,메기,Cat fishes
030199909,기타,Other
0301999091,노래미[헥사그라모스(Hexagrammos)속ㆍ아그라무스(Agrammus)속],"Rock Trout (Hexagrammos spp., Agrammus spp.)"
0301999092,붕어[카라시우스(Carassius)속은 제외한다],Crusian carp (Other than Cyprinus spp.)
0301999095,민어,Croakers
0301999099,기타,Other
0302110000,송어[살모 트루타(Salmo trutta)ㆍ옹코링쿠스 미키스(Oncorhynchus mykiss)ㆍ옹코링쿠스 클라키(Oncorhynchus clarki)ㆍ옹코링쿠스 아구아보니타(Oncorhynchus aguabonita)ㆍ옹코링쿠스 길래(Oncorhynchus gilae)ㆍ옹코링쿠스 아파케(Oncorhynchus apache)ㆍ옹코링쿠스 크리소가스터(Oncorhynchus chrysogaster)],"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
0302130000,태평양 연어[옹코링쿠스 넬카(Oncorhynchus nerka)ㆍ옹코링쿠스 고르부스카(Oncorhynchus gorbuscha)ㆍ옹코링쿠스 케타(Oncorhynchus keta)ㆍ옹코링쿠스 차비차(Oncorhynchus tschawytscha)ㆍ옹코링쿠스 키수츠(Oncorhynchus kisutch)ㆍ옹코링쿠스 마소(Oncorhynchus masou)ㆍ옹코링쿠스 로두루스(Oncorhynchus rhodurus)],"Pacific salmon (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)"
0302140000,대서양 연어[살모 살라(Salmo salar)]와 다뉴브 연어[후코 후코(Hucho hucho)],Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)
0302190000,기타,Other
0302210000,넙치[레인하드티우스 히포글러소이데스(Reinhardtius hippoglossoides)ㆍ히포글러서스 히포글러서스(Hippoglossus hippoglossus)ㆍ히포글러서스 스테노레피스(Hippoglossus stenolepis)],"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
0302220000,가자미[플루로넥테스 플라테사(Pleuronectes platessa)],Plaice (Pleuronectes platessa)
0302230000,서대[솔레아(Solea)속],Sole (Solea spp.)
0302240000,터벗(turbots)[프세타 맥시마(Psetta maxima)],Turbots (Psetta maxima)
0302290000,기타,Other
0302310000,날개다랑어나 긴지느러미 다랑어[터너스 알라룽가(Thunnus alalunga)],Albacore or longfinned tunas (Thunnus alalunga)
0302320000,황다랑어[터너스 알바카레스(Thunnus albacares)],Yellowfin tunas (Thunnus albacares)
0302330000,가다랑어(줄무늬 버니토)[카추워누스 펠라미스(Katsuwonus pelamis)],Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)
0302340000,눈다랑어[터너스 오베서스(Thunnus obesus)],Bigeye tunas (Thunnus obesus)
0302351000,대서양 참다랑어[터너스 티너스 (Thunnus thynnus)],Atlantic bluefin tunas (Thunnus thynnus)
0302352000,태평양 참다랑어[터너스 오리엔탈리스(Thunnus orientalis)],Pacific bluefin tunas (Thunnus orientalis)
0302360000,남방 참다랑어[터너스 맥코이(Thunnus maccoyii)],Southern bluefin tunas (Thunnus maccoyii)
0302390000,기타,Other
0302410000,청어[클루페아 하렌구스(Clupea harengus)ㆍ클루페아 팔라시(Clupea pallasii)],"Herrings (Clupea harengus, Clupea pallasii)"
0302420000,멸치[엔그라울리스(Engraulis)속],Anchovies (Engraulis spp.)
0302430000,"정어리[사르디나 필차르두스(Sardina pilchardus)ㆍ사르디노프스(Sardinops)속], 사르디넬라[사르디넬라(Sardinella)속], 브리스링(brisling)이나 스프랫(sprats)[스프라투스 스프라투스(Sprattus sprattus)]","Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)"
0302440000,고등어[스콤버 스콤브루스(Scomber scombrus)ㆍ스콤버 오스트랄라시쿠스(Scomber australasicus)ㆍ스콤버 자포니쿠스(Scomber japonicus)],"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
0302450000,전갱이[트라커러스(Trachurus)속],Jack and horse mackerel (Trachurus spp.)
0302460000,날쌔기[라키센트론 카나둠(Rachycentron canadum)],Cobia (Rachycentron canadum)
0302470000,황새치[자이피어스 글래디어스(Xiphias gladius)],Swordfish (Xiphias gladius)
0302491000,삼치[스콤버로모러스(Scomberomorus)속],Seerfishes (Scomberomorus spp.)
0302492000,병어[팜푸스(Pampus)속],Silver pomfrets (Pampus spp.)
0302493000,꽁치[콜로라비스 사이라(Cololabis saira)],Pacific saury (Cololabis saira)
0302499000,기타,Other
0302510000,대구[가두스 모르화(Gadus morhua)ㆍ가두스 오각(Gadus ogac)ㆍ가두스 마크로세팔루스(Gadus macrocephalus)],"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
0302520000,해덕[멜라노그라무스 애그레피누스(Melanogrammus aeglefinus)],Haddock (Melanogrammus aeglefinus)
0302530000,검정대구[폴라치우스 비렌스(Pollachius virens)],Coalfish (Pollachius virens)
0302540000,민대구[메루키우스(Merluccius)속ㆍ유르피키스(Urophycis)속],"Hake (Merluccius spp., Urophycis spp.)"
0302550000,명태[테라그라 찰코그라마(Theragra chalcogramma)],Alaska Pollock (Theragra chalcogramma)
0302560000,블루 화이팅스(blue whitings)[마이크로메시스티우스 포우타소우(Micromesistius poutassou)ㆍ마이크로메시스티우스 오스트랄리스(Micromesistius australis)],"Blue whitings (Micromesistius poutassou, Micromesistius australis)"
0302590000,기타,Other
0302710000,틸라피아[오레오크로미스(Oreochromis)속],Tilapias (Oreochromis spp.)
0302720000,메기[판가시우스(Pangasius)속ㆍ실루러스(Silurus)속ㆍ클라리아스(Clarias)속ㆍ익타루러스(Ictalurus)속],"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
0302730000,잉어[사이프리너스(Cyprinus)속ㆍ카라시우스(Carassius)속ㆍ크테노파린고돈 이델루스(Ctenopharyngodon idellus)ㆍ하이포프탈미크티스(Hypophthalmichthys)속ㆍ시리누스(Cirrhinus)속ㆍ마일로파린고돈 피세우스(Mylopharyngodon piceus)ㆍ카틀라 카틀라(Catla catla)ㆍ라베오(Labeo)속ㆍ오스테오킬루스 하셀티(Osteochilus hasselti)ㆍ렙토바르부스 호에베니(Leptobarbus hoeveni)ㆍ메갈로브라마(Megalobrama)속],"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
0302740000,뱀장어[앙귈라(Anguilla)속],Eels (Anguilla spp.)
0302790000,기타,Other
0302810000,곱상어와 그 밖의 상어,Dogfish and other sharks
0302820000,가오리와 홍어[라지대(Rajidae)과],Rays and skates (Rajidae)
0302830000,이빨고기[디소스티쿠스(Dissostichus)속],Toothfish (Dissostichus spp.)
0302840000,농어[디센트라르쿠스(Dicentrarchus)속],Seabass (Dicentrarchus spp.)
0302850000,돔[스파리대(Sparidae)과],Seabream (Sparidae)
0302891000,방어,Yellow tail
0302892000,갈치,Hair tail
0302893000,붕장어,Conger eel
0302894000,갯장어,Sharp toothed eel
0302895000,학꽁치(Hyporhampus sajori),Horn fish (Hyporhampus sajori)
0302896000,돔[스파리대(Sparidae)과는 제외한다],Seabream(other than Sparidae)
03028990,기타,Other
0302899020,복어,Puffers
0302899040,아귀,Angler (monkfish)
0302899090,기타,Other
0302911000,간,Livers
0302912000,어란(魚卵)ㆍ어백(魚白),"Roes, milt"
0302920000,상어 지느러미,Shark fins
0302990000,기타,Other
0303110000,소크아이 연어[홍연어(red salmon)][옹코링쿠스 넬카(Oncorhynchus nerka)],Sockeye salmon (red salmon) (Oncorhynchus nerka)
0303120000,그 밖의 태평양 연어[옹코링쿠스 고르부스카(Oncorhynchus gorbuscha)ㆍ옹코링쿠스 케타(Oncorhynchus keta)ㆍ옹코링쿠스 차비차(Oncorhynchus tschawytscha)ㆍ옹코링쿠스 키수츠(Oncorhynchus kisutch)ㆍ옹코링쿠스 마소(Oncorhynchus masou)ㆍ옹코링쿠스 로두루스(Oncorhynchus rhodurus)],"Other Pacific salmon(Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou and Oncorhynchus rhodurus)"
0303130000,대서양 연어[살모 살라(Salmo salar)]와 다뉴브 연어[후코 후코(Hucho hucho)],Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho)
0303140000,송어[살모 트루타(Salmo trutta)ㆍ옹코링쿠스 미키스(Oncorhynchus mykiss)ㆍ옹코링쿠스 클라키(Oncorhynchus clarki)ㆍ옹코링쿠스 아구아보니타(Oncorhynchus aguabonita)ㆍ옹코링쿠스 길래(Oncorhynchus gilae)ㆍ옹코링쿠스 아파케(Oncorhynchus apache)ㆍ옹코링쿠스 크리소가스터(Oncorhynchus chrysogaster)],"Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
0303190000,기타,Other
0303230000,틸라피아[오레오크로미스(Oreochromis)속],Tilapias (Oreochromis spp.)
0303240000,메기[판가시우스(Pangasius)속ㆍ실루러스(Silurus)속ㆍ클라리아스(Clarias)속ㆍ익타루러스(Ictalurus)속],"Catfish (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.)"
0303250000,잉어[사이프리너스(Cyprinus)속ㆍ카라시우스(Carassius)속ㆍ크테노파린고돈 이델루스(Ctenopharyngodon idellus)ㆍ하이포프탈미크티스(Hypophthalmichthys)속ㆍ시리누스(Cirrhinus)속ㆍ마일로파린고돈 피세우스(Mylopharyngodon piceus)ㆍ카틀라 카틀라(Catla catla)ㆍ라베오(Labeo)속ㆍ오스테오킬루스 하셀티(Osteochilus hasselti)ㆍ렙토바르부스 호에베니(Leptobarbus hoeveni)ㆍ메갈로브라마(Megalobrama)속],"Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)"
0303260000,뱀장어[앙귈라(Anguilla)속],Eels (Anguilla spp.)
0303290000,기타,Other
0303310000,넙치[레인하드티우스 히포글러소이데스(Reinhardtius hippoglossoides)ㆍ히포글러서스 히포글러서스(Hippoglossus hippoglossus)ㆍ히포글러서스 스테노레피스(Hippoglossus stenolepis)],"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis)"
0303320000,가자미[플루로넥테스 플라테사(Pleuronectes platessa)],Plaice (Pleuronectes platessa)
0303330000,서대[솔레아(Solea)속],Sole (Solea spp.)
0303340000,터벗(turbots)[프세타 맥시마(Psetta maxima)],Turbots (Psetta maxima)
0303391000,가자미[플루로넥테스 플라테사(Pleuronectes platessa)를 제외한다],"Plaice, other than Pleuronectes platessa"
0303399000,기타,Other
0303410000,날개다랑어나 긴지느러미 다랑어[터너스 알라룽가(Thunnus alalunga)],Albacore or longfinned tunas (Thunnus alalunga)
0303420000,황다랑어[터너스 알바카레스(Thunnus albacares)],Yellowfin tunas (Thunnus albacares)
0303430000,가다랑어(줄무늬 버니토)[카추워누스 펠라미스(Katsuwonus pelamis)],Skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)
0303440000,눈다랑어[터너스 오베서스(Thunnus obesus)],Bigeye tunas (Thunnus obesus)
0303451000,대서양 참다랑어[터너스 티너스(Thunnus thynnus)],Atlantic bluefin tunas (Thunnus thynnus)
0303452000,태평양 참다랑어[터너스 오리엔탈리스(Thunnus orientalis)],Pacific bluefin tunas (Thunnus orientalis)
0303460000,남방 참다랑어[터너스 맥코이(Thunnus maccoyii)],Southern bluefin tunas (Thunnus maccoyii)
0303490000,기타,Other
0303510000,청어[클루페아 하렌구스(Clupea harengus)ㆍ클루페아 팔라시(Clupea pallasii)],"Herrings (Clupea harengus, Clupea pallasii)"
0303530000,"정어리[사르디나 필차르두스(Sardina pilchardus)ㆍ사르디노프스(Sardinops)속], 사르디넬라[사르디넬라(Sardinella)속], 브리스링(brisling)이나 스프랫(sprats)[스프라투스 스프라투스(Sprattus sprattus)]","Sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus)"
0303540000,고등어[스콤버 스콤브루스(Scomber scombrus)ㆍ스콤버 오스트랄라시쿠스(Scomber australasicus)ㆍ스콤버 자포니쿠스(Scomber japonicus)],"Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)"
0303550000,전갱이[트라커러스(Trachurus)속],Jack and horse mackerel (Trachurus spp.)
0303560000,날쌔기[라키센트론 카나둠(Rachycentron canadum)],Cobia (Rachycentron canadum)
0303570000,황새치[자이피어스 글래디어스(Xiphias gladius)],Swordfish (Xiphias gladius)
0303591000,삼치[스콤버로모러스(Scomberomorus)속],seerfishes (Scomberomorus spp.)
0303592000,꽁치[콜로라비스 사이라(Cololabis saira)],Pacific saury (Cololabis saira)
0303599000,기타,Other
0303630000,대구[가두스 모르화(Gadus morhua)ㆍ가두스 오각(Gadus ogac)ㆍ가두스 마크로세팔루스(Gadus macrocephalus)],"Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus)"
0303640000,해덕[멜라노그라무스 애그레피누스(Melanogrammus aeglefinus)],Haddock (Melanogrammus aeglefinus)
0303650000,검정대구[폴라치우스 비렌스(Pollachius virens)],Coalfish (Pollachius virens)
0303660000,민대구[메루키우스(Merluccius)속ㆍ유르피키스(Urophycis)속],"Hake (Merluccius spp., Urophycis spp.)"
0303670000,명태[테라그라 찰코그라마(Theragra chalcogramma)],Alaska Pollock (Theragra chalcogramma)
0303680000,블루 화이팅스(blue whitings)[마이크로메시스티우스 포우타소우(Micromesistius poutassou)ㆍ마이크로메시스티우스 오스트랄리스(Micromesistius australis)],"Blue whitings (Micromesistius poutassou, Micromesistius australis)"
0303691000,새꼬리민태,Whip tail or hoki
0303699000,기타,Other
0303810000,곱상어와 그 밖의 상어,Dogfish and other sharks
0303821000,가오리,Rays 
0303822000,홍어,Skates
0303830000,이빨고기[디소스티쿠스(Dissostichus)속],Toothfish (Dissostichus spp.)
0303840000,농어[디센트라르쿠스(Dicentrarchus)속],Sea bass (Dicentrarchus spp.)
0303891000,은대구,Sable fish
0303892000,갈치,Hair tail
03038930,돔,Sea-bream
0303893010,옥돔[브랜치오스테거스 자포니커스(Branchiostegus Japonicus)],Red horsehead fish (Branchiostegus Japonicus)
0303893020,옥두어[브랜치오스테거스 알부스(Branchiostegus albus)],Yellow horsehead (Branchiostegus albus)
0303893090,기타,Other
0303894000,붕장어,Conger eel
03038950,조기,Yellow corvina
0303895010,참조기[라리미크티스 폴리악티스(Larimichthys polyactis)],Small yellow croaker (Larimichthys polyactis)
0303895020,부세[라리미크티스 크로세아(Larimichthys crocea)],Large yellow croaker (Larimichthys crocea)
0303895090,기타,Other 
0303896000,학꽁치(Hyporhampus sajori),Horn fish (Hyporhampus sajori)
0303898000,복어,Puffers
03038990,기타,Other
0303899010,보리멸,White sea smelt
0303899020,홍살치,Thorny head
0303899030,달고기,John dory
0303899040,임연수어,Atka mackerel
0303899050,볼낙(적어를 포함한다),Rock fish (including pacific ocean perch)
0303899060,아귀,Angler (monkfish)
0303899070,먹장어(대서양 또는 태평양),"Hagfish (Pacific, Atlantic)"
0303899080,밀크피쉬,Milk fish 
